link,price,year,mileage,title,fuel_type,gearbox,isPrivateSeller
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-stylizacja-amg-keyless-go-kamera-cofania-ID6H7rTZ.html,194 135,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-fv23-gwarancja-serwisowa-amg-line-94-227-netto-ID6HbfE0.html,115 899,2020,179 991 km,Mercedes-Benz CLA 220 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-35-amg-4matic-2020r-306km-cesja-leasingu-ID6GGArg.html,220 000,2020,89 000 km,Mercedes-Benz CLA AMG 35 4-Matic 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-pakiet-amg-keyless-led-faktura-vat23-ID6H7rip.html,164 900,2023,39 140 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla180-amg-line-salon-pl-od-dealera-kamera-gwarancja-fv-vat23-ID6H7qUR.html,154 900,2023,13 700 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-shooting-brake-carplay-pakiet-night-faktura-vat23-ID6GOPW2.html,144 900,2023,23 913 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6Hbff1.html,179 900,2023,21 300 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6H7q9p.html,194 331,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-250-e-phev-amg-line-8g-dct-na-gwarancji-do-11-09-2028-lub-200-tys-km-ID6H3u5N.html,179 000,2023,10 070 km,Mercedes-Benz CLA 250 e PHEV AMG Line 8G-DCT,Hybryda Plug-in,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200d-pakiet-amg-pakiet-night-premium-ID6H6hyU.html,194 900,2023,29 170 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-kamera-360multibeam-led-ID6GP0y1.html,203 661,2024,5 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180-progressive-carplay-faktura-vat-23-emil-frey-select-ID6HbeC8.html,129 900,2022,36 000 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-fv23-gwarancja-serwisowa-shooting-brake-89-349-netto-ID6HbeB2.html,109 899,2020,99 556 km,Mercedes-Benz CLA 220 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-pakiet-amg-dach-panoramiczny-faktura-vat-23-emil-frey-select-ID6Hbevr.html,169 900,2023,17 282 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6H9Y50.html,252 742,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-shooting-brake-salon-pl-kamera-keyless-go-fv-vat23-ID6H9XGf.html,174 900,2023,12 900 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-amg-cla-45-s-4matic-coupe-ID6H8qEb.html,245 000,2022,76 900 km,Mercedes-Benz CLA AMG 45 S 4-Matic 8G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-led-salonpl-1-wl-fv-23-gwarancja-dostawa-ID6H9kU4.html,137 900,2021,49 778 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,TRUE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-ambiente-led-salonpl-fv-23-gwarancja-dostawa-ID6H8qpP.html,122 900,2021,110 569 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-ambiente-led-salonpl-fv-23-gwarancja-dostawa-ID6H8qm1.html,135 900,2021,71 345 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6H0yBW.html,238 405,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6GWX1i.html,223 827,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6H0if8.html,247 037,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-amg-line-7g-dct-1-wlasciciel-salon-polska-fv-23-gwarancja-dost-ID6H7nP0.html,138 900,2021,38 743 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-pl-amg-line-kamera-advantage-ID6GTFMZ.html,145 000,2023,38 135 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-amg-gwarancja-salon-pl-fv23-dealer-zasada-ID6H3o9y.html,169 900,2023,18 797 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-250e-shooting-brake-8g-dct-ID6H8mNW.html,112 155,2020,22 280 km,Mercedes-Benz CLA 250 E 8G-DCT,Hybryda Plug-in,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-polroczny-radary-ID6GONvY.html,158 400,2024,18 000 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-220d-shooting-brake-pakiet-amg-premium-fv-23-ID6GAZy9.html,144 900,2021,105 140 km,Mercedes-Benz CLA,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-fv23-polski-salon-ID6Hb9EV.html,208 900,2024,6 057 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-wyjatkowy-pakiet-amg-line-wersja-us-2-0-turbo-221-km-ID6H8kU9.html,125 000,2023,41 000 km,Mercedes-Benz CLA 250 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-200-7g-dct-ID6H58Yt.html,135 000,2022,20 000 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-250e-pakiet-amg-pakiet-night-fv-23-ID6H7fWN.html,134 900,2021,44 716 km,Mercedes-Benz CLA,Hybryda,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-45s-salon-polska-bezwypadkowy-421-km-fv-23-ID6H8kP9.html,249 900,2022,32 313 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-autotorino-warszawa-cla-200-amg-line-ID6GAoJC.html,226 576,2024,1 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-shooting-brake-7g-dct-amg-line-salon-pl-fv-23-ID6H7dXs.html,169 900,2023,14 377 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-sb-pakiet-amg-nowy-2024-ID6Gz9QY.html,202 783,2024,10 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-coupe-ID6GNHGH.html,203 802,2024,10 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-250e-ID6GnOoC.html,206 722,2023,11 900 km,Mercedes-Benz CLA,Hybryda,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-coup-amg-bogate-wyposazenie-rocznik-2025-ID6H9MKb.html,211 900,2025,5 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6GJDgj.html,159 900,2023,17 373 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
